X,Y,OBJECTID,HA_ID,Health_Authority,Community_Collection_Center_Nam,Address,Specific_Location,City_Town,Monday_Hours,Tuesday_Hours,Wednesday_Hours,Thursday_hours,Friday_Hours,Saturday_Hours,Sunday_Hours,Days,Special_Criteria___Consideratio,Phone,Website,GlobalID,Status,Public_Access,Referral_Required,EditDate,Object,AcceptChildren,Accepts_Children,Drive_Through_Testing
-122.842411176,49.1778519760001,1,2 FHA,Fraser,Surrey Whalley UPCC,"Unit G2-9639 137A Street, Surrey",,Surrey,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,7 Days,"Testing on first come first serve, walk-in basis. Appts booked only for priority testing. When arriving to the site, a receipt is given showing a timeframe to return to the clinic for testing; to avoid gathering outside. Wait times may exceed 1 hour.",,,{067C23AB-FB39-4847-A045-C8B520720B3C},Close,Yes,No,2020/10/13 19:44:33+00,1,Yes,,
-122.598531102,49.2181494760001,2,2 FHA,Fraser,Ridge Meadows COVID-19 Testing Centre,"121-11900 Haney Place, Maple Ridge",Located at the Ridge Meadows Urgent and Primary Care Centre,Maple Ridge,"11:30 - 16:00; closed for lunch 12:00 - 12:30","11:30 - 16:00; closed for lunch 12:00 - 12:30","11:30 - 16:00; closed for lunch 12:00 - 12:30","11:30 - 16:00; closed for lunch 12:00 - 12:30","11:30 - 16:00; closed for lunch 12:00 - 12:30",,,Mon - Fri,Appointment required. Book online at https://fraserhealth.secureform.ca/index.php,"Central Intake Line: 604-587-3936, open 8:30 - 16:30, 7 days a week to help with booking an appointment",https://fraserhealth.secureform.ca/index.php,{40434181-D1F8-4BC4-BF68-F88BBA602C70},Open,Yes,Yes,2022/05/05 22:20:03+00,1,Accepts children aged 3 months and over.,Yes,No
-121.96457655,49.1661316290001,3,2 FHA,Fraser,Chilliwack COVID-19 Testing and Immunization Centre,"45470 Menholm Road, Chilliwack",,Chilliwack,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,,,"Mon - Fri; closed statutory holidays",Appointment required. Book online at https://fraserhealth.secureform.ca/index.php,"Central Intake Line: 604-587-3936, open 8:30 - 16:30, 7 days a week to help with booking an appointment",https://fraserhealth.secureform.ca/index.php,{EC39F27B-CD89-44FB-9C81-D24F7AD964FB},Open,Yes,Yes,2022/05/03 20:21:51+00,1,No age limit,Yes,No
-122.612393437,49.095428176,4,2 FHA,Fraser,Langley Memorial Hospital,"22051 Fraser Hwy, Langley, BC V3A 4H4",Enter via Emergency Dept,Langley,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,7 Days,"Call to book an appointment, press 2 and leave your name and number; your call will be returned in a timely manner within business hours. Due to current volumes there may be a one day wait.  The centre has limited walk-in capacity throughout the day",604-539-4392,,{ABBAB8B5-7CC2-4EB4-836E-8F9899A1A85E},Close,Yes,No,2020/11/27 22:39:07+00,1,Accepts children aged 3 months and over. ,,
-122.997355557,49.224998871,5,2 FHA,Fraser,Burnaby COVID-19 Testing and Immunization Centre,"6515 Bonsor Avenue, Burnaby",,Burnaby,10:30 - 16:45,10:30 - 16:45,10:30 - 16:45,10:30 - 16:45,10:30 - 16:45,10:30 - 16:45,10:30 - 16:45,"7 days; closed statutory holidays",Appointment required. Book online at https://fraserhealth.secureform.ca/index.php,"Central Intake Line: 604-587-3936, open 8:30 - 16:30, 7 days a week to help with booking an appointment",https://fraserhealth.secureform.ca/index.php,{03C1DA73-6752-4612-83A2-5D318DFB9F79},Open,Yes,Yes,2022/05/17 15:17:52+00,1,Accepts children aged 3 months and over. ,Yes,No
-122.89322586,49.2258426810001,6,2 FHA,Fraser,Fraser Northwest(Royal Columbian Medical Clinic),"107-301 East Columbia St, New Westminster, BC V3L 3L2",Clinic is across them RCH,New Westminster,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 17:00,09:00 - 17:00,7 Days,The centre is open to all members of the public. Appointments are required either through the website or by calling 236-996-9000. There is NO walk-in seating area or waiting area inside the clinic and you may not necessarily be seen on the same day.,236-996-9000,https://www.divisionsbc.ca/fraser-northwest/influenza-symptom-testing-center,{1617186B-E10F-4935-86E9-9EA9271EAA10},Close,Yes,No,2020/06/15 16:20:29+00,1,Yes,,
-122.325439295,49.0655744480001,7,2 FHA,Fraser,Abbotsford COVID-19 Testing Centre,"Bldg 1 - 32470 Haida Drive, Abbotsford",Enter through Gate 2,Abbotsford,08:30 - 15:30,08:30 - 15:30,08:30 - 15:30,08:30 - 15:30,08:30 - 15:30,08:30 - 15:30,08:30 - 15:30,"7 days; open statutory holidays",Appointment required. Book online at https://fraserhealth.secureform.ca/index.php,"Central Intake Line: 604-587-3936, open 8:30 - 16:30, 7 days a week to help with booking an appointment",https://fraserhealth.secureform.ca/index.php,{5F1DF389-DA03-48C4-B01C-DD22F059DD53},Close,Yes,Yes,2022/05/12 22:26:23+00,1,Accepts children aged 3 months and over. ,Yes,No
-122.332302928,49.1348988890001,8,2 FHA,Fraser,Mission COVID-19 Testing and Immunization Centre,"7298 Hurd Street, Mission",Located at the Mission Community Health Centre,Mission,09:00 - 13:00,09:00 - 13:00,09:00 - 13:00,09:00 - 13:00,09:00 - 13:00,,,Mon - Fri,Appointment required. Book online at https://fraserhealth.secureform.ca/index.php,"Central Intake Line: 604-587-3936, open 8:30 - 16:30, 7 days a week to help with booking an appointment",https://fraserhealth.secureform.ca/index.php,{F4DE268F-FC36-4F79-96B5-FB55D864534D},Open,Yes,Yes,2022/04/25 17:27:49+00,1,Accepts children aged 3 months and over. ,Yes,No
-122.792292164,49.030205261,9,2 FHA,Fraser,Peace Arch Hospital,"15521 Russell Avenue, White Rock",Collection centre entrance is on the side of the hospital in the cafeteria.  Do not enter through the hospital main entrance.  ,White Rock,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,7 Days,Appointment required. Book online at https://fraserhealth.secureform.ca/index.php,"Central Intake Line: 604-587-3936, open 8:30 - 16:30, 7 days a week to help with booking an appointment",https://fraserhealth.secureform.ca/index.php,{3008C199-E8C9-48B9-96CC-DFD12C934501},Close,Yes,Yes,2021/12/29 21:48:58+00,1,Accepts children aged 3 months and over. ,,
-119.249946805,50.2510440360001,10,1 IHA,Interior,Vernon Health Centre,"1440 14th Avenue, Vernon",Park in COVID-19 designated stall. Wait outside the COVID-19 testing entrance until directed,Vernon,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see Interior Health's COVID-19 testing page for more information.","The public, health care workers and non-Interior Health staff can book an appointment by calling: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://www.interiorhealth.ca/health-and-wellness/disease-outbreaks/covid-19/testing-information,{AE72805A-16CC-4987-B3AD-20B51AB28CE5},Open,Yes,Yes,2022/06/01 21:39:57+00,1,All ages,Yes,No
-119.475479625,49.883093886,11,1 IHA,Interior,Kelowna Community Collection Centre,"2180 Ethel Street, Kelowna","Entrance on Glenwood Avenue; please follow signage. No drive-through testing capability.",Kelowna,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see Interior Health's COVID-19 testing page for more information.","The public, health care workers and non-Interior Health staff can book an appointment by calling: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://www.interiorhealth.ca/health-and-wellness/disease-outbreaks/covid-19/testing-information,{085DD993-6E74-4C6A-BC48-B4F3300D998B},Close,Yes,Yes,2022/05/31 23:40:22+00,1,All ages,Yes,No
-120.334616221,50.67017113,12,1 IHA,Interior,Kamloops Urgent and Primary Care Centre,"102-311 Columbia St, Kamloops",,Kamloops,16:30 - 20:30,16:30 - 20:30,16:30 - 20:30,16:30 - 20:30,16:30 - 20:30,16:30 - 20:30,16:30 - 20:30,7 Days,"To book an appointment, call the Kamloops Public Health COVID Line at 250-851-7467, Sunday to Friday until 4 pm. After 4 pm on Friday and all day Saturday, call the Urgent and Primary Care Center at 250-314-2256.",250-314-2256,,{30A91291-C49D-4930-8CD9-91108657548F},Close,Yes,Yes,2022/04/13 16:35:33+00,1,Yes,,
-119.588069756,49.455959701,13,1 IHA,Interior,Penticton Test Collection Centre,"140-3547 Skaha Lake Road, Penticton","Enter from Yorkton Ave. Park in designated spot and call number listed on arrival. If no cell phone, use sanitizing station at entrance and ring doorbell.",Penticton,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see Interior Health's COVID-19 testing page for more information.","The public, health care workers and non-Interior Health staff can book an appointment by calling: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://www.interiorhealth.ca/health-and-wellness/disease-outbreaks/covid-19/testing-information,{2B7B0D5F-5011-411C-B685-FCE2348DD569},Close,Yes,Yes,2022/06/02 15:51:14+00,1,All ages,Yes,No
-121.292104946,51.6384958040001,14,1 IHA,Interior,South Cariboo Health Centre,"555D Cedar Ave, 100 Mile House",Please report to the ER entrance. Report to the greeter and say you need a PCR test.,100 Mile House,15:00 -16:00,15:00 -16:00,15:00 -16:00,15:00 -16:00,15:00 -16:00,15:00 -16:00,15:00 -16:00,"Hours and days of operation are subject to change, see Interior Health's COVID-19 testing page for more information.","Open to the public, health care workers and staff. Walk-ins accepted.","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://www.interiorhealth.ca/health-and-wellness/disease-outbreaks/covid-19/testing-information,{688EAA4C-5353-4C0A-AE89-7299AA245F1D},Open,No,No,2022/06/01 21:21:02+00,1,All ages,Yes,No
