aphiaid,animal_origin,stock,length,length_type,weight,life_stage,age,sex,animal_reference_id,animal_project_reference,datacenter_reference
127188,W,UNK,0.561,FORK,2.35,UNKNOWN,5.33,U,FRO-T14,FRO,OTN-Global
127188,W,UNK,0.576,FORK,2.53,UNKNOWN,5.33,U,FRO-T2,FRO,OTN-Global
127188,W,UNK,0.57,FORK,2.41,UNKNOWN,5.33,U,FRO-T25,FRO,OTN-Global
127188,W,UNK,0.6,FORK,2.8,UNKNOWN,5.33,U,FRO-T26,FRO,OTN-Global
127188,W,UNK,0.55,FORK,2.17,UNKNOWN,5.33,U,FRO-T27,FRO,OTN-Global
127188,W,UNK,0.49,FORK,1.55,UNKNOWN,5.33,U,FRO-T28,FRO,OTN-Global
127188,W,UNK,0.45,FORK,1.24,UNKNOWN,5.33,U,FRO-T29,FRO,OTN-Global
127188,W,UNK,0.521,FORK,1.89,UNKNOWN,5.33,U,FRO-T5,FRO,OTN-Global
127188,W,UNK,0.556,FORK,2.29,UNKNOWN,5.33,U,FRO-T1,FRO,OTN-Global
127188,W,UNK,0.54,FORK,2.15,UNKNOWN,5.33,U,FRO-T41,FRO,OTN-Global
127188,W,UNK,0.588,FORK,2.69,UNKNOWN,5.33,U,FRO-T8,FRO,OTN-Global
127188,W,UNK,0.64,FORK,3.44,UNKNOWN,5.33,U,FRO-T7,FRO,OTN-Global
127188,W,UNK,0.54,FORK,2.1,UNKNOWN,5.33,U,FRO-T4,FRO,OTN-Global
127188,W,UNK,0.612,FORK,3.02,UNKNOWN,5.33,U,FRO-T6,FRO,OTN-Global
127188,W,UNK,0.6,FORK,2.85,UNKNOWN,5.33,U,FRO-T9,FRO,OTN-Global
127188,W,UNK,0.544,FORK,2.15,UNKNOWN,5.33,U,FRO-T10,FRO,OTN-Global
127188,W,UNK,0.586,FORK,2.66,UNKNOWN,5.33,U,FRO-T13,FRO,OTN-Global
127188,W,UNK,0.596,FORK,2.8,UNKNOWN,5.33,U,FRO-T11,FRO,OTN-Global
127188,W,UNK,0.54,FORK,2.1,UNKNOWN,5.33,U,FRO-T12,FRO,OTN-Global
127188,W,UNK,0.53,FORK,1.97,UNKNOWN,5.33,U,FRO-T33,FRO,OTN-Global
127188,W,UNK,0.53,FORK,1.99,UNKNOWN,5.33,U,FRO-T31,FRO,OTN-Global
127188,W,UNK,0.57,FORK,2.41,UNKNOWN,5.33,U,FRO-T32,FRO,OTN-Global
127188,W,UNK,0.554,FORK,2.26,UNKNOWN,5.33,U,FRO-T16,FRO,OTN-Global
127188,W,UNK,0.31,FORK,0.4,UNKNOWN,5.33,U,FRO-T35,FRO,OTN-Global
127188,W,UNK,0.36,FORK,0.66,UNKNOWN,5.33,U,FRO-T30,FRO,OTN-Global
127188,W,UNK,0.33,FORK,0.5,UNKNOWN,5.33,U,FRO-T34,FRO,OTN-Global
127188,W,UNK,0.31,FORK,0.43,UNKNOWN,5.33,U,FRO-T37,FRO,OTN-Global
127188,W,UNK,0.32,FORK,0.46,UNKNOWN,5.33,U,FRO-T36,FRO,OTN-Global
127188,W,UNK,0.519,FORK,1.87,UNKNOWN,5.33,U,FRO-T18,FRO,OTN-Global
127188,W,UNK,0.556,FORK,2.29,UNKNOWN,5.33,U,FRO-T17,FRO,OTN-Global
127188,W,UNK,0.634,FORK,3.34,UNKNOWN,5.33,U,FRO-T19,FRO,OTN-Global
127188,W,UNK,0.585,FORK,2.65,UNKNOWN,5.33,U,FRO-T20,FRO,OTN-Global
127188,W,UNK,0.569,FORK,2.44,UNKNOWN,5.33,U,FRO-T15,FRO,OTN-Global
127188,W,UNK,0.57,FORK,2.48,UNKNOWN,5.33,U,FRO-T24,FRO,OTN-Global
127188,W,UNK,0.646,FORK,3.53,UNKNOWN,5.33,U,FRO-T22,FRO,OTN-Global
127188,W,UNK,0.61,FORK,2.99,UNKNOWN,5.33,U,FRO-T21,FRO,OTN-Global
127188,W,UNK,0.58,FORK,2.58,UNKNOWN,5.33,U,FRO-T23,FRO,OTN-Global
127188,W,UNK,0.6,FORK,1.91,UNKNOWN,5.33,U,FRO-T42,FRO,OTN-Global
127188,W,UNK,0.278,FORK,0.12,UNKNOWN,5.33,U,FRO-T43,FRO,OTN-Global
127188,W,UNK,0.492,FORK,1,UNKNOWN,5.33,U,FRO-T44,FRO,OTN-Global
127188,W,UNK,0.329,FORK,0.31,UNKNOWN,5.33,U,FRO-T45,FRO,OTN-Global
127188,W,UNK,0.714,FORK,3.82,UNKNOWN,5.33,U,FRO-T46,FRO,OTN-Global
127188,W,UNK,0.6,FORK,2.2,UNKNOWN,5.33,U,FRO-T47,FRO,OTN-Global
127188,W,UNK,0.567,FORK,1.84,UNKNOWN,5.33,U,FRO-T48,FRO,OTN-Global
127188,W,UNK,0.619,FORK,2.43,UNKNOWN,5.33,U,FRO-T49,FRO,OTN-Global
127188,W,UNK,0.534,FORK,1.52,UNKNOWN,5.33,U,FRO-T50,FRO,OTN-Global
127188,W,UNK,0.616,FORK,2.39,UNKNOWN,5.33,U,FRO-T51,FRO,OTN-Global
127188,W,UNK,0.618,FORK,2.42,UNKNOWN,5.33,U,FRO-T52,FRO,OTN-Global
127188,W,UNK,0.566,FORK,1.83,UNKNOWN,5.33,U,FRO-T53,FRO,OTN-Global
127188,W,UNK,0.507,FORK,1.29,UNKNOWN,5.33,U,FRO-T54,FRO,OTN-Global
127188,W,UNK,0.579,FORK,1.96,UNKNOWN,5.33,U,FRO-T55,FRO,OTN-Global
127188,W,UNK,0.525,FORK,1.44,UNKNOWN,5.33,U,FRO-T56,FRO,OTN-Global
127188,W,UNK,0.32,FORK,0.3,UNKNOWN,5.33,U,FRO-T57,FRO,OTN-Global
127188,W,UNK,0.509,FORK,1.31,UNKNOWN,5.33,U,FRO-T58,FRO,OTN-Global
127188,W,UNK,0.37,FORK,0.47,UNKNOWN,5.33,U,FRO-T59,FRO,OTN-Global
127188,W,UNK,0.545,FORK,1.62,UNKNOWN,5.33,U,FRO-T60,FRO,OTN-Global
127188,W,UNK,0.533,FORK,1.3,UNKNOWN,5.33,U,FRO-T61,FRO,OTN-Global
127188,W,UNK,0.62,FORK,3.08,UNKNOWN,5.33,U,FRO-T39,FRO,OTN-Global
127188,W,UNK,0.53,FORK,1.99,UNKNOWN,5.33,U,FRO-T38,FRO,OTN-Global
127188,W,UNK,0.594,FORK,2.77,UNKNOWN,5.33,U,FRO-T3,FRO,OTN-Global
127188,W,UNK,0.54,FORK,2.08,UNKNOWN,5.33,U,FRO-T40,FRO,OTN-Global
127186,H,EAST MACHIAS,0.64,FORK,0.345,ADULT,5.33,F,MCS-50934,MCS,OTN-Global
