platform_reference_id	platform_project_reference	platform_type	platform_depth	latitude(degree_north)	longitude(degree_east)	datacenter_reference
SAF-MB002	SAF	Underwater mooring	21	-34.08662	22.19435	OTN-Global
SAF-MB013	SAF	Underwater mooring	48	-34.15786	22.24009	OTN-Global
SAF-FB001	SAF	Underwater mooring	41	-34.36798	18.81178	OTN-Global
SAF-MB014	SAF	Underwater mooring	50	-34.16428	22.24424	OTN-Global
SAF-AB001	SAF	Underwater mooring	20	-33.77729	26.31278	OTN-Global
SAF-AB002	SAF	Underwater mooring	20	-33.78536	26.31389	OTN-Global
SAF-AB003	SAF	Underwater mooring	28	-33.79325	26.3152	OTN-Global
SAF-AB004	SAF	Underwater mooring	28	-33.8017	26.31621	OTN-Global
SAF-AB005	SAF	Underwater mooring	30	-33.80968	26.31628	OTN-Global
SAF-AB006	SAF	Underwater mooring	31	-33.81786	26.31632	OTN-Global
SAF-AB007	SAF	Underwater mooring	29	-33.82578	26.31655	OTN-Global
SAF-MB001	SAF	Underwater mooring	15	-34.08061	22.1905	OTN-Global
SAF-HB005	SAF	Underwater mooring	82	-34.04391	18.27266	OTN-Global
SAF-MB003	SAF	Underwater mooring	27	-34.09309	22.1985	OTN-Global
SAF-MB004	SAF	Underwater mooring	31	-34.0996	22.20267	OTN-Global
SAF-MB005	SAF	Underwater mooring	35	-34.10602	22.20682	OTN-Global
KM001	SAF	Underwater mooring	30.8	-32.704722	28.384833	OTN-Global
SAF-FB002	SAF	Underwater mooring	54	-34.36868	18.80307	OTN-Global
SAF-FB003	SAF	Underwater mooring	61	-34.36905	18.79488	OTN-Global
SAF-FB004	SAF	Underwater mooring	73	-34.36967	18.7865	OTN-Global
SAF-MB006	SAF	Underwater mooring	37	-34.11254	22.211	OTN-Global
SAF-MB007	SAF	Underwater mooring	38	-34.1191	22.21518	OTN-Global
SAF-FB005	SAF	Underwater mooring	71	-34.37021	18.77812	OTN-Global
SAF-HB001	SAF	Underwater mooring	29	-34.04449	18.30325	OTN-Global
SAF-HB002	SAF	Underwater mooring	38	-34.04445	18.29575	OTN-Global
SAF-GB001	SAF	Underwater mooring	20	-34.06667	22.24215	OTN-Global
SAF-GB002	SAF	Underwater mooring	27	-34.07296	22.24687	OTN-Global
SAF-GB003	SAF	Underwater mooring	30	-34.07895	22.25137	OTN-Global
SAF-CSB001	SAF	Underwater mooring	25	-34.18228	22.1753	OTN-Global
SAF-CSB002	SAF	Underwater mooring	33	-34.18782	22.1818	OTN-Global
SAF-CSB003	SAF	Underwater mooring	43	-34.19321	22.18766	OTN-Global
SAF-HB003	SAF	Underwater mooring	60	-34.04431	18.28771	OTN-Global
SAF-HB004	SAF	Underwater mooring	68	-34.04415	18.28085	OTN-Global
SAF-MOZ001	SAF	Underwater mooring	17.7	-26.85456	32.89933	OTN-Global
SAF-MOZ002	SAF	Underwater mooring	29.1	-26.8545	32.90536	OTN-Global
SAF-MOZ003	SAF	Underwater mooring	45.1	-26.8545	32.91139	OTN-Global
SAF-Bushmans	SAF	Underwater mooring	1.8	-33.68522	26.66255	OTN-Global
SAF-Great Fish	SAF	Underwater mooring	1.5	-33.49092	27.12949	OTN-Global
SAF-Kariega	SAF	Underwater mooring	1.5	-33.67194	26.67469	OTN-Global
