deployment_id,receiver_reference_type,receiver_serial_number,receiver_manufacturer,latitude (degrees_north),longitude (degrees_east),time(UTC),recovery_datetime_utc (UTC),bottom_depth (m),depth (m),deployment_comments,deployment_project_reference,receiver_model,receiver_reference_id,datacenter_reference
ASF-West Line D-VR2-2272-2009,ManmadePlatform,2272,VEMCO,50.28333,-64.43556,2009-06-13T18:06:00Z,2009-08-06T20:00:00Z,20.9,7,UNKNOWN,ASF,VR2,ASF_ASF-West Line D,OTN-Global
ASF-WYERS POOL-Kedgewick-VR2-2603-2006,ManmadePlatform,2603,VEMCO,47.81337,-67.73847,2006-05-23T03:00:00Z,2006-10-05T03:00:00Z,123.8,74.7,UNKNOWN,ASF,VR2,ASF_ASF-WYERS POOL-Kedgewick,OTN-Global
ASF-WYERS POOL-Kedgewick-VR2-3342-2005,ManmadePlatform,3342,VEMCO,47.81336,-67.73846,2005-05-27T03:00:00Z,2005-10-01T03:00:00Z,123.8,74.7,UNKNOWN,ASF,VR2,ASF_ASF-WYERS POOL-Kedgewick,OTN-Global
ASF-2 km Upriver of the Oxbow-VR2-1135-2007,ManmadePlatform,1135,VEMCO,46.95367,-65.8715,2007-05-17T03:00:00Z,2007-06-26T03:00:00Z,1.538,74.7,UNKNOWN,ASF,VR2,ASF_ASF-2 km Upriver of the Oxbow,OTN-Global
ASF-Above Falls-VR2-3335-2008,ManmadePlatform,3335,VEMCO,50.53819,-64.08922,2008-06-17T21:46:00Z,2008-08-06T17:50:00Z,1.2,1.2,UNKNOWN,ASF,VR2,ASF_ASF-Above Falls,OTN-Global
ASF-Above Falls-VR2-3335-2009,ManmadePlatform,3335,VEMCO,50.53819,-64.08922,2009-06-26T18:40:00Z,2009-08-07T17:50:00Z,1.2,1.2,UNKNOWN,ASF,VR2,ASF_ASF-Above Falls,OTN-Global
ASF-Above Falls-VR2-3342-2010,ManmadePlatform,3342,VEMCO,50.53819,-64.08922,2010-06-19T12:30:00Z,2010-08-13T18:48:00Z,1.2,74.7,UNKNOWN,ASF,VR2,ASF_ASF-Above Falls,OTN-Global
ASF-Above Falls-VR2-3349-2009,ManmadePlatform,3349,VEMCO,50.53819,-64.08922,2009-08-07T14:11:00Z,2010-06-19T16:30:00Z,0.6,0.6,UNKNOWN,ASF,VR2,ASF_ASF-Above Falls,OTN-Global
ASF-Above Falls-VR2-3357-2007,ManmadePlatform,3357,VEMCO,50.53819,-64.08922,2007-06-18T03:00:00Z,2007-07-30T17:00:00Z,1.5,1.5,UNKNOWN,ASF,VR2,ASF_ASF-Above Falls,OTN-Global
ASF-Above Falls-VR2-5032-2010,ManmadePlatform,5032,VEMCO,50.53819,-64.08922,2010-08-13T15:15:00Z,2011-08-14T03:00:00Z,123.8,74.7,UNKNOWN,ASF,VR2,ASF_ASF-Above Falls,OTN-Global
ASF-Anticosti Island 1-VR2-2587-2010,ManmadePlatform,2587,VEMCO,49.89227,-64.5363,2010-05-31T21:00:00Z,2010-08-04T19:47:00Z,30,7,UNKNOWN,ASF,VR2,ASF_ASF-Anticosti Island 1,OTN-Global
ASF-Anticosti Island 2-VR2-2581-2010,ManmadePlatform,2581,VEMCO,49.89673,-64.54998,2010-05-31T21:00:00Z,2010-08-31T03:34:00Z,60,7,UNKNOWN,ASF,VR2,ASF_ASF-Anticosti Island 2,OTN-Global
ASF-Anticosti Island 3-VR2-3335-2010,ManmadePlatform,3335,VEMCO,49.90093,-64.5633,2010-05-31T21:00:00Z,2010-08-13T18:48:00Z,70,7,UNKNOWN,ASF,VR2,ASF_ASF-Anticosti Island 3,OTN-Global
ASF-Anticosti Island 4-VR2-3346-2010,ManmadePlatform,3346,VEMCO,49.90455,-64.57548,2010-05-31T21:00:00Z,2010-08-04T20:14:00Z,80,7,UNKNOWN,ASF,VR2,ASF_ASF-Anticosti Island 4,OTN-Global
EST-Gamtoos-VR2W-119101-3,ManmadePlatform,119101,UNKNOWN,-33.96096,25.01524,2014-07-04T11:51:00Z,2015-02-25T14:25:00Z,1.6,1.6,UNKNOWN,SAF,VR2W,SAF_EST-Gamtoos,OTN-Global
EST-Gouritz-U22-001-10098862-2,ManmadePlatform,10098862,UNKNOWN,-34.33985,21.881,2013-10-23T11:00:00Z,2015-02-20T14:32:00Z,1,1,UNKNOWN,SAF,U22-001,SAF_EST-Gouritz,OTN-Global
EST-Gouritz-VR2W-102853-2,ManmadePlatform,102853,UNKNOWN,-34.33985,21.881,2013-10-23T11:00:00Z,2015-02-20T14:32:00Z,1,1,UNKNOWN,SAF,VR2W,SAF_EST-Gouritz,OTN-Global
EST-Keiskamma-U22-001-10098859-2,ManmadePlatform,10098859,UNKNOWN,-33.27771,27.48596,2014-02-17T12:50:00Z,2015-03-12T13:00:00Z,1.5,1.6,UNKNOWN,SAF,U22-001,SAF_EST-Keiskamma,OTN-Global
EST-Keiskamma-VR2W-120163-2,ManmadePlatform,120163,UNKNOWN,-33.27771,27.48596,2014-02-17T12:50:00Z,2015-03-12T13:00:00Z,1.5,1.5,UNKNOWN,SAF,VR2W,SAF_EST-Keiskamma,OTN-Global
EST-Swartkops-VR2W-119095-3,ManmadePlatform,119095,UNKNOWN,-33.85946,25.6262,2014-06-24T13:22:00Z,2015-06-23T14:30:00Z,1.5,1.5,UNKNOWN,SAF,VR2W,SAF_EST-Swartkops,OTN-Global
ESTSundays-VR2W-112441-4,ManmadePlatform,112441,UNKNOWN,-33.69511,25.83502,2014-11-28T16:52:00Z,2015-01-23T16:26:02Z,1.5,1.5,UNKNOWN,SAF,VR2W,SAF_SAF-Sundays,OTN-Global
GSBGSB001-VR2W-119624-3,ManmadePlatform,119624,UNKNOWN,-34.69701,19.40543,2014-12-08T13:47:00Z,2015-06-11T15:15:00Z,22.2,2.7,UNKNOWN,SAF,VR2W,SAF_GSB-GSB001,OTN-Global
PSJPSJ001-VR2W-119100-4,ManmadePlatform,119100,UNKNOWN,-31.61551,29.59351,2014-12-05T07:35:30Z,2015-06-22T11:28:00Z,21.4,2.7,UNKNOWN,SAF,VR2W,SAF_SAF-PSJ001,OTN-Global
PSJPSJ002-U22-001-10106787-4,ManmadePlatform,10106787,UNKNOWN,-31.62029,29.60005,2014-12-05T07:57:10Z,2015-06-22T12:40:00Z,33.5,2.7,UNKNOWN,SAF,U22-001,SAF_SAF-PSJ002,OTN-Global
PSJPSJ002-VR2W-120168-4,ManmadePlatform,120168,UNKNOWN,-31.62029,29.60005,2014-12-05T07:57:10Z,2015-06-22T12:40:00Z,33.5,2.7,UNKNOWN,SAF,VR2W,SAF_SAF-PSJ002,OTN-Global
PSJPSJ003-VR2W-112472-4,ManmadePlatform,112472,UNKNOWN,-31.62421,29.60686,2014-12-05T08:53:08Z,2015-06-22T12:31:00Z,42,2.7,UNKNOWN,SAF,VR2W,SAF_SAF-PSJ003,OTN-Global
SAFAB003-VR2W-120157-6,ManmadePlatform,120157,UNKNOWN,-33.79314,26.31528,2014-10-28T11:09:00Z,2015-04-20T10:05:00Z,27.8,2.8,UNKNOWN,SAF,VR2W,SAF_SAF-AB003,OTN-Global
SAFAB004-VR2W-119110-6,ManmadePlatform,119110,UNKNOWN,-33.80161,26.31643,2014-10-29T11:04:00Z,2015-04-20T10:20:00Z,30.8,2.8,UNKNOWN,SAF,VR2W,SAF_SAF-AB004,OTN-Global
SAFAB005-U22-001-10113348-6,ManmadePlatform,10113348,UNKNOWN,-33.80974,26.31633,2014-10-28T11:02:00Z,2015-04-20T10:35:00Z,30.4,74.7,UNKNOWN,SAF,U22-001,SAF_SAF-AB005,OTN-Global
SAFAB005-VR2W-112419-6,ManmadePlatform,112419,UNKNOWN,-33.80974,26.31633,2014-10-28T11:02:00Z,2015-04-20T10:35:00Z,30.4,2.8,UNKNOWN,SAF,VR2W,SAF_SAF-AB005,OTN-Global
SAFAB006-VR2W-120150-6,ManmadePlatform,120150,UNKNOWN,-33.81775,26.31649,2014-10-28T10:59:00Z,2015-04-20T10:51:00Z,30.2,2.8,UNKNOWN,SAF,VR2W,SAF_SAF-AB006,OTN-Global
SAFAB007-VR2W-119617-6,ManmadePlatform,119617,UNKNOWN,-33.82578,26.31648,2014-10-28T10:54:00Z,2015-04-20T11:04:00Z,28.1,2.8,UNKNOWN,SAF,VR2W,SAF_SAF-AB007,OTN-Global
CPCP001-VR2W-119161-3,ManmadePlatform,119161,UNKNOWN,-34.3355,18.48023,2014-08-12T14:24:00Z,2015-03-14T17:02:00Z,32,2.7,UNKNOWN,SAF,VR2W,SAF_SAF-CP001,OTN-Global
CPCP002-U22-001-10098872-3,ManmadePlatform,10098872,UNKNOWN,-34.33209,18.48548,2014-08-12T14:19:00Z,2015-03-14T16:22:00Z,50,2.7,UNKNOWN,SAF,U22-001,SAF_SAF-CP002,OTN-Global
CPCP002-VR2W-112345-3,ManmadePlatform,112345,UNKNOWN,-34.33209,18.48548,2014-08-12T14:19:00Z,2015-03-14T16:22:00Z,50,2.7,UNKNOWN,SAF,VR2W,SAF_SAF-CP002,OTN-Global
CPCP003-VR2W-120152-3,ManmadePlatform,120152,UNKNOWN,-34.32892,18.49085,2014-08-12T10:19:00Z,2015-03-14T16:01:00Z,55,2.7,UNKNOWN,SAF,VR2W,SAF_SAF-CP003,OTN-Global
ASF-Anticosti Island 5-VR2W-109522-2010,ManmadePlatform,109522,VEMCO,49.90867,-64.58682,2010-05-31T21:00:00Z,2010-08-04T20:27:00Z,90,7,UNKNOWN,ASF,VR2W,ASF_ASF-Anticosti Island 5,OTN-Global
ASF-CB4-VR2-4293-2009,ManmadePlatform,4293,VEMCO,47.83153,-65.22368,2009-05-21T03:00:00Z,2009-07-15T03:00:00Z,123.8,74.7,UNKNOWN,ASF,VR2,ASF_ASF-CB4,OTN-Global
ASF-Barnaby Isand-VR2-1127-2009,ManmadePlatform,1127,VEMCO,46.91143,-65.62213,2009-04-27T21:46:00Z,2009-12-01T04:00:00Z,123.8,74.7,UNKNOWN,ASF,VR2,ASF_ASF-Barnaby Isand,OTN-Global
ASF-Barnaby Isand-VR2-2605-2005,ManmadePlatform,2605,VEMCO,46.91154,-65.62074,2005-05-12T03:00:00Z,2005-07-19T03:00:00Z,123.8,74.7,UNKNOWN,ASF,VR2,ASF_ASF-Barnaby Isand,OTN-Global
ASF-BARTIBOG UPSTREAM 1-VR2-2267-2009,ManmadePlatform,2267,VEMCO,47.07802,-65.36585,2009-04-28T19:35:00Z,2009-12-09T04:00:00Z,123.8,74.7,UNKNOWN,ASF,VR2,ASF_ASF-BARTIBOG UPSTREAM 1,OTN-Global
ASF-BARTIBOG UPSTREAM 2-VR2-1152-2009,ManmadePlatform,1152,VEMCO,47.08213,-65.36617,2009-04-28T19:34:00Z,2009-12-01T04:00:00Z,123.8,74.7,UNKNOWN,ASF,VR2,ASF_ASF-BARTIBOG UPSTREAM 2,OTN-Global
ASF-BB low-VR2-2599-2005,ManmadePlatform,2599,VEMCO,46.98929,-65.55853,2005-05-12T03:00:00Z,2005-07-18T03:00:00Z,123.8,74.7,UNKNOWN,ASF,VR2,ASF_ASF-BB low,OTN-Global
