recovery_id,recovery_latitude,recovery_longitude,recovery_datetime_utc,recovery_outcome,data_offloaded,offload_datetime_utc,log_filenames,recovery_comments,recovery_project_reference,datacenter_reference
ABO-Nar05-02-VR2W-122785-2016,67.2495,-60.38247,2017-09-22T23:18:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Nar04-04-TEMP STAR ODDI-C8136-2016-09-18T12,67.474117,-58.220567,2017-09-21T20:11:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Baff01-01-VR2W-127937-2016,71.97833,-71.44208,2017-10-01T15:46:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,Deployment/Recovery Notes: Up,ABO,OTN-Global
ABO-Baff01-02-VR2W-127938-2016,72.00928,-71.34455,2017-10-01T15:09:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,Deployment/Recovery Notes: Up,ABO,OTN-Global
ABO-Baff01-03-VR2W-127916-2016,72.04222,-71.24047,2017-10-01T14:27:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,Deployment/Recovery Notes: Down,ABO,OTN-Global
ABO-Baff03-01-VR2W-127934-2016,70.68323,-66.8139,2017-09-29T23:15:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,Deployment/Recovery Notes: Up,ABO,OTN-Global
ABO-Baff03-02-VR2W-127935-2016,70.68698,-66.76618,2017-09-29T23:42:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,Deployment/Recovery Notes: Up,ABO,OTN-Global
ABO-Baff03-03-VR2W-127936-2016,70.6934,-66.68692,2017-09-30T00:15:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,Deployment/Recovery Notes: Down,ABO,OTN-Global
ABO-Baff04-01-VR2W-113649-2016,68.9778,-64.08512,2017-10-07T20:20:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,Deployment/Recovery Notes: Down,ABO,OTN-Global
ABO-Baff04-02-VR2W-113630-2016,68.97877,-64.18338,2017-10-07T21:11:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,Deployment/Recovery Notes: Up,ABO,OTN-Global
ABO-Baff06-02-VR2W-122783-2016,67.68628,-62.37112,2017-09-25T18:43:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Baff06-03-VR2W-122792-2016,67.7546,-62.30852,2017-09-25T18:47:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Baff07-01-VR2W-127928-2016,66.83978,-59.43223,2017-09-24T21:31:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Baff07-02-VR2W-127931-2016,66.71638,-59.69172,2017-09-24T19:18:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Baff07-03-VR2W-127917-2016,66.59733,-59.96162,2017-09-24T17:10:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Nar01-01-RBR-100816-2016,68.1608,-59.7771,2017-09-20T21:01:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Nar01-01-VR2W-127924-2016,68.1608,-59.7771,2017-09-20T21:01:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,Deployment/Recovery Notes: Down,ABO,OTN-Global
ABO-Nar01-02-VR2W-129908-2016,68.16305,-59.74157,2017-09-20T21:34:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,Deployment/Recovery Notes: Down,ABO,OTN-Global
ABO-Nar01-03-VR2W-129898-2016,68.16463,-59.71915,2017-09-20T22:04:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,"Deployment/Recovery Notes: Down, --Star ODDi temp?",ABO,OTN-Global
ABO-Nar01-04-TEMP STAR ODDI-C8129-2016,68.16967,-59.62118,2017-09-20T22:43:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Nar01-04-VR2W-127923-2016,68.16967,-59.62118,2017-09-20T22:43:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,Deployment/Recovery Notes: Up,ABO,OTN-Global
ABO-Nar02-01-VR2W-129904-2016,67.84975,-59.36618,2017-09-21T01:02:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Nar02-02-VR2W-127911-2016,67.85748,-59.32528,2017-09-21T01:35:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Nar02-03-VR2W-127939-2016,67.86472,-59.29842,2017-09-21T02:04:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Nar02-04-VR2W-129905-2016,67.87742,-59.2457,2017-09-21T02:35:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Nar03-01-VR2W-127933-2016,67.63975,-58.97228,2017-09-21T14:11:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Nar03-02-VR2W-113667-2016,67.6475,-58.94755,2017-09-21T14:45:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Nar03-03-VR2W-129920-2016,67.65585,-58.91883,2017-09-21T15:15:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,"Deployment/Recovery Notes: Release (35566) hit side of boat in 2016, paint chipped but still functional",ABO,OTN-Global
ABO-Nar03-04-RBR TEMP-54068-2016,67.66565,-58.8859,2017-09-21T15:41:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Nar03-04-SM3M-40?7368-2016,67.66565,-58.8859,2017-09-21T15:41:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,"Deployment/Recovery Notes: Label scratched, cannot make out all serial numbers- Was WINNIPEG TIME!;",ABO,OTN-Global
ABO-Nar03-04-VR2W-129911-2016,67.66565,-58.8859,2017-09-21T15:41:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,Deployment/Recovery Notes: Receiver in same location as other short moorings (ie. 10m from bottom); SM3M added on top additional riser --> temp below receiver,ABO,OTN-Global
ABO-Nar04-01-VR2W-113639-2016,67.40643,-58.46613,2017-09-21T18:03:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Nar04-02-VR2W-113654-2016,67.43628,-58.33345,2017-09-21T19:00:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,"Deployment/Recovery Notes: Receiver replaced due to scratches, receiver 129912 deployed instead",ABO,OTN-Global
ABO-Nar04-03-TEMP STAR ODDI-C8133-2016,67.45382,-58.28622,2017-09-21T19:36:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
ABO-Nar04-03-VR2W-113633-2016,67.45382,-58.28622,2017-09-21T19:36:00Z,RECOVERD,N,9999-12-31T23:59:59Z,UNKNOWN,UNKNOWN,ABO,OTN-Global
