release_reference_id,release_reference_type,latitude (degrees_north),longitude (degrees_east),time (UTC),expected_enddate (UTC),manufacturer,tag_model,tag_serial_number,tag_coding_system,transmitted_id,transmittername,release_project_reference,tag_device_id,datacenter_reference
GR-ST02,STATION,44.43351,-64.20316,2010-04-21T18:20:43Z,2010-06-22T18:18:38Z,VEMCO,V9-2X,1091885,A69-1303,48123,A69-1303-48123,WRS,V9-2X-1091885-A69-1303-48123,OTN-Global
SMR-ST01,STATION,45.12417,-61.97775,2010-05-04T01:51:40Z,2010-06-23T22:05:52Z,VEMCO,V9-2X,1092157,A69-1303,48056,A69-1303-48056,WRS,V9-2X-1092157-A69-1303-48056,OTN-Global
SMR-ST02,STATION,45.10567,-61.96656,2010-05-04T02:15:55Z,2010-06-23T21:18:03Z,VEMCO,V9-2X,1092158,A69-1303,48057,A69-1303-48057,WRS,V9-2X-1092158-A69-1303-48057,OTN-Global
LR-ST01,STATION,44.36644,-64.48,2010-04-24T21:59:08Z,2010-06-15T22:52:23Z,VEMCO,V9-2X,1092159,A69-1303,48058,A69-1303-48058,WRS,V9-2X-1092159-A69-1303-48058,OTN-Global
LR-ST02,STATION,44.24113,-64.30659,2010-04-23T18:29:18Z,2010-06-19T17:05:03Z,VEMCO,V9-2X,1092160,A69-1303,48059,A69-1303-48059,WRS,V9-2X-1092160-A69-1303-48059,OTN-Global
WRSH-ST01,STATION,44.90864,-62.51151,2010-04-16T17:52:41Z,2010-06-17T20:01:19Z,VEMCO,V9-2X,1092554,A69-1303,48012,A69-1303-48012,WRS,V9-2X-1092554-A69-1303-48012,OTN-Global
WRSH-ST02,STATION,44.86397,-62.48551,2010-04-29T22:53:38Z,2010-06-17T17:32:15Z,VEMCO,V9-2X,1092555,A69-1303,48013,A69-1303-48013,WRS,V9-2X-1092555-A69-1303-48013,OTN-Global
WRS-10569,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050442,A69-1303,10569,A69-1303-10569,WRS,10569,OTN-Global
WRS-10568,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050441,A69-1303,10568,A69-1303-10568,WRS,10568,OTN-Global
WRS-10567,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050440,A69-1303,10567,A69-1303-10567,WRS,10567,OTN-Global
WRS-10566,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050439,A69-1303,10566,A69-1303-10566,WRS,10566,OTN-Global
WRS-10565,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050438,A69-1303,10565,A69-1303-10565,WRS,10565,OTN-Global
WRS-10564,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050437,A69-1303,10564,A69-1303-10564,WRS,10564,OTN-Global
WRS-10563,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050436,A69-1303,10563,A69-1303-10563,WRS,10563,OTN-Global
WRS-10562,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050435,A69-1303,10562,A69-1303-10562,WRS,10562,OTN-Global
WRS-10561,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050434,A69-1303,10561,A69-1303-10561,WRS,10561,OTN-Global
WRS-10560,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050433,A69-1303,10560,A69-1303-10560,WRS,10560,OTN-Global
WRS-10559,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050432,A69-1303,10559,A69-1303-10559,WRS,10559,OTN-Global
WRS-10558,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050431,A69-1303,10558,A69-1303-10558,WRS,10558,OTN-Global
WRS-10557,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050430,A69-1303,10557,A69-1303-10557,WRS,10557,OTN-Global
