transmitter_id,transmitter_codespace,detection_transmittername
10563,A69-1303,A69-1303-10563
10564,A69-1303,A69-1303-10564
56393,A69-1303,A69-1303-56393
10565,A69-1303,A69-1303-10565
10566,A69-1303,A69-1303-10566
10567,A69-1303,A69-1303-10567
10568,A69-1303,A69-1303-10568
10569,A69-1303,A69-1303-10569
10554,A69-1303,A69-1303-10554
10550,A69-1303,A69-1303-10550
10552,A69-1303,A69-1303-10552
10557,A69-1303,A69-1303-10557
10559,A69-1303,A69-1303-10559
10562,A69-1303,A69-1303-10562
10555,A69-1303,A69-1303-10555
10551,A69-1303,A69-1303-10551
58623,A69-1303,A69-1303-58623
58624,A69-1303,A69-1303-58624
58625,A69-1303,A69-1303-58625
58626,A69-1303,A69-1303-58626
58627,A69-1303,A69-1303-58627
58628,A69-1303,A69-1303-58628
58629,A69-1303,A69-1303-58629
58630,A69-1303,A69-1303-58630
58631,A69-1303,A69-1303-58631
58632,A69-1303,A69-1303-58632
58633,A69-1303,A69-1303-58633
58634,A69-1303,A69-1303-58634
58635,A69-1303,A69-1303-58635
58636,A69-1303,A69-1303-58636
58637,A69-1303,A69-1303-58637
58638,A69-1303,A69-1303-58638
58639,A69-1303,A69-1303-58639
58640,A69-1303,A69-1303-58640
58641,A69-1303,A69-1303-58641
58642,A69-1303,A69-1303-58642
58643,A69-1303,A69-1303-58643
58644,A69-1303,A69-1303-58644
58646,A69-1303,A69-1303-58646
58647,A69-1303,A69-1303-58647
58648,A69-1303,A69-1303-58648
26664,A69-9001,A69-9001-26664
26666,A69-9001,A69-9001-26666
26662,A69-9001,A69-9001-26662
26652,A69-9001,A69-9001-26652
24395,A69-9001,A69-9001-24395
24398,A69-9001,A69-9001-24398
24402,A69-9001,A69-9001-24402
24409,A69-9001,A69-9001-24409
24392,A69-9001,A69-9001-24392
24400,A69-9001,A69-9001-24400
24407,A69-9001,A69-9001-24407
24410,A69-9001,A69-9001-24410
26651,A69-9001,A69-9001-26651
26655,A69-9001,A69-9001-26655
26656,A69-9001,A69-9001-26656
26660,A69-9001,A69-9001-26660
26667,A69-9001,A69-9001-26667
26669,A69-9001,A69-9001-26669
24394,A69-9001,A69-9001-24394
26670,A69-9001,A69-9001-26670
24406,A69-9001,A69-9001-24406
24397,A69-9001,A69-9001-24397
24403,A69-9001,A69-9001-24403
24399,A69-9001,A69-9001-24399
24405,A69-9001,A69-9001-24405
26658,A69-9001,A69-9001-26658
24404,A69-9001,A69-9001-24404
24396,A69-9001,A69-9001-24396
24401,A69-9001,A69-9001-24401
24391,A69-9001,A69-9001-24391
24408,A69-9001,A69-9001-24408
50950,A69-1303,A69-1303-50950
50940,A69-1303,A69-1303-50940
11540,A69-9002,A69-9002-11540
11541,A69-9002,A69-9002-11541
11535,A69-9002,A69-9002-11535
11534,A69-9002,A69-9002-11534
7549,A69-9002,A69-9002-7549
7548,A69-9002,A69-9002-7548
11277,A69-9002,A69-9002-11277
11278,A69-9002,A69-9002-11278
7551,A69-9002,A69-9002-7551
7550,A69-9002,A69-9002-7550
26663,A69-9001,A69-9001-26663
26653,A69-9001,A69-9001-26653
26661,A69-9001,A69-9001-26661
26657,A69-9001,A69-9001-26657
26665,A69-9001,A69-9001-26665
26668,A69-9001,A69-9001-26668
26654,A69-9001,A69-9001-26654
26659,A69-9001,A69-9001-26659
11552,A69-9002,A69-9002-11552
11553,A69-9002,A69-9002-11553
11547,A69-9002,A69-9002-11547
11546,A69-9002,A69-9002-11546
11556,A69-9002,A69-9002-11556
11557,A69-9002,A69-9002-11557
11554,A69-9002,A69-9002-11554
11555,A69-9002,A69-9002-11555
11528,A69-9002,A69-9002-11528
11529,A69-9002,A69-9002-11529
11530,A69-9002,A69-9002-11530
11531,A69-9002,A69-9002-11531
11532,A69-9002,A69-9002-11532
11533,A69-9002,A69-9002-11533
11536,A69-9002,A69-9002-11536
11537,A69-9002,A69-9002-11537
11538,A69-9002,A69-9002-11538
11539,A69-9002,A69-9002-11539
11545,A69-9002,A69-9002-11545
11542,A69-9002,A69-9002-11542
11543,A69-9002,A69-9002-11543
11544,A69-9002,A69-9002-11544
11548,A69-9002,A69-9002-11548
11549,A69-9002,A69-9002-11549
56363,A69-1303,A69-1303-56363
56394,A69-1303,A69-1303-56394
56395,A69-1303,A69-1303-56395
56396,A69-1303,A69-1303-56396
56397,A69-1303,A69-1303-56397
56398,A69-1303,A69-1303-56398
